Code,Chapter,Category,Subcategory,Level 2,Description
"D42.0","Neoplasms","Neoplasms of uncertain behavior","-","-","Neoplasm of uncertain behavior of cerebral meninges"
"D42.1","Neoplasms","Neoplasms of uncertain behavior","-","-","Neoplasm of uncertain behavior of spinal meninges"
"S52.365A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, initial encounter for closed fracture"
"W62.0XXS","External causes of morbidity","Exposure to animate mechanical forces","-","-","Contact with nonvenomous frogs, sequela"
"D42.9","Neoplasms","Neoplasms of uncertain behavior","-","-","Neoplasm of uncertain behavior of meninges, unspecified"
"S52.364S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, sequela"
"S52.366S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, sequela"
"Y37.221A","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Military operations involving explosion of guided missile, civilian, initial encounter"
"S52.366Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion"
"S52.366R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"Y37.221D","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Military operations involving explosion of guided missile, civilian, subsequent encounter"
"S52.366P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion"
"S52.366M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion"
"S52.366N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"S52.366K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion"
"T25.129D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of unspecified foot, subsequent encounter"
"T25.129A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of unspecified foot, initial encounter"
"S52.366J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S52.366G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing"
"S52.366H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing"
