Code,Chapter,Category,Subcategory,Level 2,Description
"S36.62XA","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of rectum, initial encounter"
"T20.29XS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of multiple sites of head, face, and neck, sequela"
"Y78.0","External causes of morbidity","Complications of medical and surgical care","-","-","Diagnostic and monitoring radiological devices associated with adverse incidents"
"Y78.1","External causes of morbidity","Complications of medical and surgical care","-","-","Therapeutic (nonsurgical) and rehabilitative radiological devices associated with adverse incidents"
"Y78.2","External causes of morbidity","Complications of medical and surgical care","-","-","Prosthetic and other implants, materials and accessory radiological devices associated with adverse incidents"
"Y78.3","External causes of morbidity","Complications of medical and surgical care","-","-","Surgical instruments, materials and radiological devices (including sutures) associated with adverse incidents"
"S42.90XB","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Fracture of unspecified shoulder girdle, part unspecified, initial encounter for open fracture"
"Y78.8","External causes of morbidity","Complications of medical and surgical care","-","-","Miscellaneous radiological devices associated with adverse incidents, not elsewhere classified"
"S25.809S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, unspecified side, sequela"
"S42.90XA","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Fracture of unspecified shoulder girdle, part unspecified, initial encounter for closed fracture"
"D3A.00","Neoplasms","Neoplasms of uncertain behavior","-","-","Benign carcinoid tumor of unspecified site"
"H21.00","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Hyphema, unspecified eye"
"H94.80","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Other specified disorders of ear in diseases classified elsewhere, unspecified ear"
"H21.01","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Hyphema, right eye"
"H94.81","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Other specified disorders of right ear in diseases classified elsewhere"
"H21.02","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Hyphema, left eye"
"H94.82","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Other specified disorders of left ear in diseases classified elsewhere"
"H21.03","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Hyphema, bilateral"
"H94.83","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Other specified disorders of ear in diseases classified elsewhere, bilateral"
"V51.0XXA","External causes of morbidity","Transport accidents","-","-","Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, initial encounter"
"T37.94XD","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified systemic anti-infective and antiparasitics, undetermined, subsequent encounter"
"T37.94XA","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified systemic anti-infective and antiparasitics, undetermined, initial encounter"
"V00.182D","External causes of morbidity","Transport accidents","-","-","Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, subsequent encounter"
"S85.122S","Injury, poisoning and certain other consequences of external causes","Injuries to the knee and lower leg","-","-","Other specified injury of unspecified tibial artery, left leg, sequela"
"V51.0XXS","External causes of morbidity","Transport accidents","-","-","Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, sequela"
"V00.182A","External causes of morbidity","Transport accidents","-","-","Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, initial encounter"
"V00.181S","External causes of morbidity","Transport accidents","-","-","Fall from other rolling-type pedestrian conveyance, sequela"
"P09.9","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening, unspecified"
"V51.0XXD","External causes of morbidity","Transport accidents","-","-","Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
"P09.8","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Other abnormal findings on neonatal screening"
"P09.5","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening for critical congenital heart disease"
"P09.6","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening for neonatal hearing loss"
"P09.3","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening for congenital hematologic disorders"
"S85.122A","Injury, poisoning and certain other consequences of external causes","Injuries to the knee and lower leg","-","-","Other specified injury of unspecified tibial artery, left leg, initial encounter"
"T25.692D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of second degree of left ankle and foot, subsequent encounter"
"P09.4","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening for cystic fibrosis"
"S27.499S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Other injury of bronchus, unspecified, sequela"
"P09.1","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening for inborn errors of metabolism"
"P09.2","Certain conditions originating in the perinatal period","Abnormal findings on neonatal screening","-","-","Abnormal findings on neonatal screening for congenital endocrine disease"
"T25.692A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of second degree of left ankle and foot, initial encounter"
"T38.6X6S","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, sequela"
